# Identitas AG. Validity: 2025-02-28. Evaluated: 2025-03-11
commune;count;countPerSurfacekm2;countPer100Inhabitants;top5breeds;top5names
Adliswil;886;114.00000000000000;4.50000000000000;Unbestimmt | Vermischtes  183, Kreuzung  151, Labrador Retriever  63, Yorkshire Terrier  36, Chihuahueno  32;Luna  15, Nala  7, Stella  7, Bobby  6, Amy  5, Buddy  5, Charlie  5, Jack  5, Leo  5, Milo  5
Rheinwald;41;0.30000000000000;7.10000000000000;Unbestimmt | Vermischtes  10, Kreuzung  8;
Grens;46;18.00000000000000;11.60000000000000;Kreuzung  7, Unbestimmt | Vermischtes  7;
Val Terbi;377;8.10000000000000;11.50000000000000;Unbestimmt | Vermischtes  64, Kreuzung  51, Border Collie  33, Berner Sennenhund  21, Chihuahueno  21;Naya  6
Windisch;305;62.10000000000000;3.80000000000000;Unbestimmt | Vermischtes  70, Kreuzung  52, Labrador Retriever  17, Chihuahueno  12, Golden Retriever  9, Jack Russell Terrier  9, Maltese  9;Luna  8
Pleigne;54;3.00000000000000;15.50000000000000;Kreuzung  15, Unbestimmt | Vermischtes  8;
Risch;553;37.20000000000000;4.80000000000000;Unbestimmt | Vermischtes  91, Kreuzung  69, Labrador Retriever  39, Chihuahueno  28, Yorkshire Terrier  21;Rocky  5
Zeihen;152;22.10000000000000;11.90000000000000;Kreuzung  24, Unbestimmt | Vermischtes  23, Jack Russell Terrier  9, Vastgotaspets  8, Chihuahueno  7;
Vucherens;74;22.60000000000000;11.70000000000000;Kreuzung  13, Unbestimmt | Vermischtes  10, Chihuahueno  6, Border Collie  5;
Roche (VD);146;22.60000000000000;7.50000000000000;Unbestimmt | Vermischtes  23, Kreuzung  16, Jack Russell Terrier  11, Staffordshire Bull Terrier  9, Bouledogue Francais  7, Chihuahueno  7;
Schönenwerd;393;105.90000000000001;7.60000000000000;Unbestimmt | Vermischtes  69, Kreuzung  62, Bouledogue Francais  25, Chihuahueno  24, Yorkshire Terrier  18;Stella  7, Luna  5
Corcelles-près-Payerne;227;18.70000000000000;7.80000000000000;Unbestimmt | Vermischtes  32, Kreuzung  23, Chihuahueno  16, Yorkshire Terrier  12, Jack Russell Terrier  9;
Reinach (AG);750;79.20000000000000;7.90000000000000;Unbestimmt | Vermischtes  160, Kreuzung  123, Chihuahueno  33, Bouledogue Francais  29, Labrador Retriever  29;Bella  7, Buddy  6, Rocky  6, Stella  6, Amy  5, Balu  5, Holly  5, Jimmy  5, Lucky  5, Luna  5
Missy;34;10.90000000000000;9.10000000000000;Kreuzung  7;
Düdingen;419;13.60000000000000;4.70000000000000;Kreuzung  81, Unbestimmt | Vermischtes  49, Labrador Retriever  30, Jack Russell Terrier  16, Chihuahueno  15;Luna  6, Balu  5, Rocky  5
Montpreveyres;64;15.50000000000000;10.00000000000000;Unbestimmt | Vermischtes  9, Chihuahueno  7, Kreuzung  6;
Schattdorf;208;12.70000000000000;3.80000000000000;Kreuzung  35, Unbestimmt | Vermischtes  33, Labrador Retriever  18, Chihuahueno  12, Golden Retriever  10;Luna  5
Gachnang;290;29.80000000000000;6.30000000000000;Unbestimmt | Vermischtes  65, Kreuzung  32, Labrador Retriever  17, Border Collie  13, Bouledogue Francais  11;
Treytorrens (Payerne);59;19.20000000000000;54.10000000000000;Tibetan Spaniel  46;
Chavannes-des-Bois;89;42.00000000000000;8.70000000000000;Unbestimmt | Vermischtes  17, Kreuzung  8, Labrador Retriever  5, Siberian Husky  5;
Horn;187;108.70000000000000;6.00000000000000;Unbestimmt | Vermischtes  44, Kreuzung  20, Labrador Retriever  10, Yorkshire Terrier  8, Chihuahueno  7, Deutscher Spitz  7;Luna  5
Arni (BE);87;8.30000000000000;9.00000000000000;Unbestimmt | Vermischtes  19, Kreuzung  15, Golden Retriever  9, Labrador Retriever  9, Border Collie  6;
Morlon;57;21.60000000000000;8.00000000000000;Kreuzung  10, Australian Shepherd  7, Chihuahueno  5, Unbestimmt | Vermischtes  5;
Saubraz;41;11.10000000000000;9.10000000000000;Unbestimmt | Vermischtes  7;
Berlingen;83;23.20000000000000;8.80000000000000;Unbestimmt | Vermischtes  24, Kreuzung  11, Labrador Retriever  7, Chihuahueno  6, Perro de Agua Espanol  5;
Münsingen;610;38.70000000000000;4.70000000000000;Unbestimmt | Vermischtes  142, Kreuzung  85, Labrador Retriever  45, Chihuahueno  25, Jack Russell Terrier  20;Lou  7, Gino  5, Lucy  5, Mia  5, Milo  5
Falera;39;1.70000000000000;6.20000000000000;Border Collie  6, Unbestimmt | Vermischtes  6, Labrador Retriever  5;
Marsens;153;19.50000000000000;7.20000000000000;Kreuzung  18, Unbestimmt | Vermischtes  15, Labrador Retriever  14, Chihuahueno  8, Yorkshire Terrier  8;
L'Isle;126;7.80000000000000;11.60000000000000;Unbestimmt | Vermischtes  20, Kreuzung  11, Border Collie  10, Labrador Retriever  7, Jack Russell Terrier  6;
Wuppenau;121;10.00000000000000;10.10000000000000;Unbestimmt | Vermischtes  27, Kreuzung  26, Labrador Retriever  10, Chihuahueno  7, Border Collie  5;
Wynigen;233;8.20000000000000;11.20000000000000;Kreuzung  42, Unbestimmt | Vermischtes  39, Labrador Retriever  19, Siberian Husky  17, Berner Sennenhund  13;Kira  5, Luna  5
Fisibach;73;12.70000000000000;12.40000000000000;Unbestimmt | Vermischtes  14, Kreuzung  10, Chihuahueno  6;
Tentlingen;94;26.00000000000000;6.90000000000000;Unbestimmt | Vermischtes  12, Kreuzung  11, Labrador Retriever  10, Shih Tzu  5;
Unterengstringen;252;75.40000000000001;5.80000000000000;Unbestimmt | Vermischtes  65, Kreuzung  30, Labrador Retriever  16, Bouledogue Francais  11, Deutscher Spitz  11;
Wiggiswil;9;6.20000000000000;8.90000000000000;;
Crans-Montana;763;12.80000000000000;7.30000000000000;Unbestimmt | Vermischtes  104, Kreuzung  70, Chihuahueno  40, Australian Shepherd  38, Yorkshire Terrier  38;Luna  15, Snow  7, Léo  6, Maya  6, Lucky  5, Max  5, Mia  5, Nina  5, Sky  5
Root;356;36.00000000000000;5.70000000000000;Unbestimmt | Vermischtes  78, Kreuzung  49, Chihuahueno  20, Deutscher Spitz  17, Labrador Retriever  17;Milow  5, Nala  5
Seon;374;38.90000000000000;6.70000000000000;Unbestimmt | Vermischtes  79, Kreuzung  62, Labrador Retriever  22, Chihuahueno  15, Jack Russell Terrier  15;Luna  5
Kloten;774;40.40000000000000;3.60000000000000;Unbestimmt | Vermischtes  154, Kreuzung  108, Chihuahueno  42, Deutscher Spitz  37, Bouledogue Francais  36;Luna  9, Rocky  9, Charly  5, Coco  5, Kira  5, Lola  5, Lucy  5, Mia  5, Nala  5, Teddy  5
Lantsch/Lenz;35;1.60000000000000;6.60000000000000;Kreuzung  7, Unbestimmt | Vermischtes  6, Jack Russell Terrier  5;
Brunegg;68;43.90000000000000;7.50000000000000;Kreuzung  17, Unbestimmt | Vermischtes  8, Labrador Retriever  6;Luna  5
Sissach;313;35.20000000000000;4.60000000000000;Unbestimmt | Vermischtes  58, Kreuzung  46, Labrador Retriever  20, Golden Retriever  17, Chihuahueno  12;
Ammerswil;64;20.10000000000000;8.10000000000000;Unbestimmt | Vermischtes  14, Kreuzung  9, Berger de Beauce  5;
Le Noirmont;161;7.90000000000000;8.20000000000000;Kreuzung  22, Unbestimmt | Vermischtes  15, Border Collie  12, Jack Russell Terrier  11, Australian Shepherd  10;
